Unnamed: 0.1,Unnamed: 0,date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner,elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,team_1_wins
45686,45686,2015-11-15,Cloud9,Liquid,Cache,14,16,2,1,4,11,10,5,1960,2299256,11,14,14,16,2,-2.3363909530776255,-0.02857142857142858,0.025974025974025983,-4,-3,0.0,0
45687,45687,2015-11-15,Liquid,Complexity,Dust2,19,17,1,2,10,5,5,10,1960,2299244,14,22,19,17,1,106.9040715691458,0.6,0.5833333333333334,7,-8,1.0,1
45689,45689,2015-11-15,CLG,Liquid,Cobblestone,12,16,2,1,6,9,6,7,1960,2299265,13,14,0,2,2,-64.99875783950915,-0.29999999999999993,-0.1608391608391609,-2,-1,0.5,0
45684,45684,2015-11-15,Cloud9,Complexity,Inferno,16,5,1,1,13,2,3,3,1960,2299258,11,22,16,5,1,84.00945276198308,0.5,0.5,2,-11,1.0,1
45691,45691,2015-11-15,NiP,Titan,Train,16,6,1,1,12,3,4,3,1937,2299261,6,10,16,6,1,47.9997651477413,0.16666666666666663,0.20512820512820507,-7,-4,0.5,1
45692,45692,2015-11-15,Luminosity,Cloud9,Cobblestone,9,16,2,2,6,4,3,12,1960,2299264,9,11,0,2,2,76.9478741216958,0.34444444444444444,0.11111111111111105,9,-2,0.5,0
45693,45693,2015-11-15,Liquid,Cloud9,Cobblestone,15,19,2,1,7,8,8,7,1960,2299271,14,11,1,2,2,26.697272172809107,0.20000000000000007,0.04285714285714293,4,3,0.5,0
45694,45694,2015-11-15,Liquid,Cloud9,Inferno,16,4,1,1,11,4,5,0,1960,2299271,14,11,1,2,2,-7.756809300351279,0.0,-0.036363636363636376,4,3,0.0,0
45695,45695,2015-11-15,Liquid,Cloud9,Cache,5,16,2,2,0,6,5,10,1960,2299271,14,11,1,2,2,-39.04249943933951,-0.09999999999999998,-0.10416666666666663,4,3,0.0,0
45696,45696,2015-11-15,Luminosity,Cloud9,Dust2,7,16,2,1,2,13,5,3,1960,2299264,9,11,0,2,2,-9.105082034147017,0.20000000000000007,-0.06072874493927127,6,-2,0.0,0
45690,45690,2015-11-15,Conquest,Complexity,Cobblestone,10,16,2,2,5,6,5,10,1960,2299257,17,22,10,16,2,79.05061005324842,0.42857142857142855,0.42857142857142855,0,-5,1.0,0
45674,45674,2015-11-16,mousesports,Virtus.pro,Dust2,13,16,2,1,5,10,8,6,1934,2299282,8,2,13,16,2,8.243033609698841,0.19999999999999996,0.0636363636363636,-12,6,1.0,0
45675,45675,2015-11-16,fnatic,Natus Vincere,Dust2,16,3,1,2,3,1,13,2,1970,2299286,4,5,2,0,1,102.25680173547858,0.6,0.6,-1,-1,0.5,1
45676,45676,2015-11-16,fnatic,Natus Vincere,Inferno,16,3,1,1,12,3,4,0,1970,2299286,4,5,2,0,1,125.10144451123801,0.6666666666666666,0.6666666666666666,-1,-1,1.0,1
45677,45677,2015-11-16,Nexus,Enemy,Cobblestone,2,16,2,2,0,3,2,13,1968,2299299,29,24,2,16,2,0.0,0.0,0.0,0,5,0.5,0
45673,45673,2015-11-16,Envy,FlipSid3,Cobblestone,18,22,2,2,3,12,12,3,1970,2299287,1,14,1,2,2,-1.9516200276780182,0.5,0.5,4,-13,0.5,0
45679,45679,2015-11-16,CLG,Enemy,Cache,7,16,2,1,6,9,1,7,1968,2299301,13,24,7,16,2,-49.097775729403565,-0.6,-0.5833333333333333,11,-11,0.5,0
45680,45680,2015-11-16,Envy,FlipSid3,Mirage,13,16,2,1,10,5,3,11,1970,2299287,1,14,1,2,2,-33.77187107090231,-0.6,-0.6,4,-13,0.0,0
45681,45681,2015-11-16,Envy,FlipSid3,Inferno,16,10,1,2,3,8,13,2,1970,2299287,1,14,1,2,2,-62.67112641725862,-0.6666666666666667,-0.6666666666666667,4,-13,0.0,0
