season,date,event,patch,blue_team,red_team,winner,blue_team_win,elo_diff,winrate_last_5_diff,winrate_last_10_diff,winrate_last_20_diff,matches_played_diff,days_since_last_match_diff,head_to_head_winrate_diff,blue_side_team_winrate,red_side_team_winrate
2,2012-10-14,Main,,Taipei_Assassins,Azubu_Frost,Azubu_Frost,0,61.602498895714916,0.6000000000000001,0.275,0.23863636363636365,-3,0,0.5,1.0,0.6
3,2013-09-15,Main,,Oh_My_God,SK_Telecom_T1,Oh_My_God,1,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.5
3,2013-09-15,Main,,Lemondogs,GamingGear_2e-eu,Lemondogs,1,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.5
3,2013-09-15,Main,,TSM,Oh_My_God,Oh_My_God,0,-24.32474388801802,-0.6,-0.6,-0.5454545454545454,10,344,0.0,0.5714285714285714,0.5
3,2013-09-15,Main,,SK_Telecom_T1,Lemondogs,SK_Telecom_T1,1,-32.0,-1.0,-1.0,-1.0,0,0,0.0,0.5,0.5
3,2013-09-15,Main,,GamingGear_2e-eu,TSM,TSM,0,7.206374746328038,-0.4,-0.3,-0.4166666666666667,-11,0,0.0,0.5,0.25
3,2013-09-16,Main,,Gambit_Gaming,Samsung_White,Gambit_Gaming,1,0.0,0.0,0.0,0.0,0,0,0.0,0.5,0.5
3,2013-09-16,Main,,Mineski,Fnatic,Fnatic,0,-81.12567202322657,-0.30000000000000004,-0.30000000000000004,-0.2272727272727273,-11,-820,0.0,0.5,0.6666666666666666
3,2013-09-16,Main,,Samsung_White,Team_Vulcun,Samsung_White,1,-16.0,-0.5,-0.5,-0.5,1,1,0.0,0.5,0.5
3,2013-09-16,Main,,Gambit_Gaming,Mineski,Gambit_Gaming,1,28.330472996443405,1.0,1.0,1.0,0,0,0.0,1.0,0.5
3,2013-09-16,Main,,Team_Vulcun,Fnatic,Team_Vulcun,1,-110.19245181319206,-0.8,-0.9,-0.75,-11,0,0.0,0.5,0.7142857142857143
3,2013-09-17,Main,,Fnatic,Gambit_Gaming,Fnatic,1,41.84694909915697,-0.4,-0.19999999999999996,-0.3076923076923077,11,0,0.0,0.8,0.5
3,2013-09-17,Main,,Mineski,Team_Vulcun,Team_Vulcun,0,-31.203362123434317,-0.5,-0.5,-0.5,0,0,0.0,0.0,0.0
3,2013-09-17,Main,,Samsung_White,Fnatic,Fnatic,0,-85.89100170497613,-0.30000000000000004,-0.30000000000000004,-0.2142857142857143,-12,1,0.0,1.0,0.625
3,2013-09-17,Main,,Team_Vulcun,Gambit_Gaming,Gambit_Gaming,0,2.125479379938497,0.0,0.0,0.0,0,0,0.0,1.0,0.0
3,2013-09-17,Main,,Mineski,Samsung_White,Samsung_White,0,-30.20865098831723,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0,0,0.0,0.0,0.0
3,2013-09-18,Main,,SK_Telecom_T1,TSM,SK_Telecom_T1,1,8.344058036974502,0.09999999999999998,0.09999999999999998,0.038461538461538436,-11,0,0.0,1.0,0.4
3,2013-09-18,Main,,GamingGear_2e-eu,Oh_My_God,Oh_My_God,0,-63.213449096639124,-1.0,-1.0,-1.0,0,0,0.0,0.0,1.0
3,2013-09-18,Main,,TSM,Lemondogs,TSM,1,-21.02087076571297,-0.3,-0.09999999999999998,-0.07142857142857145,12,-3,0.0,0.5,0.0
3,2013-09-18,Main,,SK_Telecom_T1,GamingGear_2e-eu,SK_Telecom_T1,1,62.53775105483328,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0.0,1.0,0.0
3,2013-09-18,Main,,Lemondogs,Oh_My_God,Oh_My_God,0,-62.438615276240625,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,0,0,0.0,1.0,1.0
